Employee ID,Name,Role,Department,Monthly Salary (EGP),Source,Referral Bonus,Referred By Name
EG-EMP-1060,Tarek Ali,Tech Lead,Engineering,132018,Employee Referral,15945,Nour Khalil
EG-EMP-1061,Yasmine Khalil,Junior Dev,Engineering,23574,Direct,0,
EG-EMP-1062,Mariam Ali,ML Engineer,Data Science,59554,Recruiter,0,
EG-EMP-1063,Nour Hassan,Frontend Dev,Engineering,62584,Direct,0,
EG-EMP-1064,Khaled Reda,Junior Dev,Engineering,31605,Recruiter,0,
EG-EMP-1065,Nour Said,Sales Executive,Sales/HR,58072,Recruiter,0,
EG-EMP-1066,Mariam Reda,Data Analyst,Data Science,62381,Direct,0,
EG-EMP-1067,Mariam Hassan,ML Engineer,Data Science,61978,LinkedIn,0,
EG-EMP-1068,Nour Ali,ML Engineer,Data Science,63561,Recruiter,0,
EG-EMP-1069,Salma Reda,Data Analyst,Data Science,57187,Employee Referral,10000,Omar Said
EG-EMP-1070,Khaled Mansour,Sales Executive,Sales/HR,56523,LinkedIn,0,
EG-EMP-1071,Hoda Reda,Frontend Dev,Engineering,43247,Direct,0,
EG-EMP-1072,Ahmed Reda,DevOps,Engineering,36835,LinkedIn,0,
EG-EMP-1073,Mariam Ibrahim,HR Manager,Sales/HR,72790,LinkedIn,0,
EG-EMP-1074,Yasmine Farid,Frontend Dev,Engineering,48588,Direct,0,
EG-EMP-1075,Mostafa Mahmoud,HR Specialist,Sales/HR,37821,Recruiter,0,
EG-EMP-1076,Ahmed Farid,HR Manager,Sales/HR,89320,LinkedIn,0,
EG-EMP-1077,Nour Said,Data Analyst,Data Science,41919,Direct,0,
EG-EMP-1078,Nour Ali,Data Scientist,Data Science,58304,LinkedIn,0,
EG-EMP-1079,Youssef Khalil,Senior Dev,Engineering,71147,Recruiter,0,
EG-EMP-1080,Nour Ali,HR Specialist,Sales/HR,47326,LinkedIn,0,
EG-EMP-1081,Yasmine Said,Tech Lead,Engineering,70449,Employee Referral,22737,Yasmine Khalil
EG-EMP-1082,Yasmine Ibrahim,DevOps,Engineering,45790,Employee Referral,10000,Tarek Reda
EG-EMP-1083,Dina Soliman,DevOps,Engineering,51693,Recruiter,0,
EG-EMP-1084,Hoda Khalil,Data Scientist,Data Science,59228,Employee Referral,10000,Salma Reda
EG-EMP-1085,Nour Reda,ML Engineer,Data Science,58455,Employee Referral,10000,Mariam Reda
EG-EMP-1086,Youssef Mahmoud,Frontend Dev,Engineering,46795,LinkedIn,0,
EG-EMP-1087,Tarek Soliman,Account Manager,Sales/HR,96969,Employee Referral,23539,Tarek Mansour
EG-EMP-1088,Laila Reda,Tech Lead,Engineering,83933,Recruiter,0,
EG-EMP-1089,Kareem Mahmoud,Junior Dev,Engineering,31396,Employee Referral,5000,Youssef Khalil
EG-EMP-1090,Mostafa Mansour,Data Scientist,Data Science,45021,Employee Referral,10000,Nour Reda
EG-EMP-1091,Tarek Soliman,Account Manager,Sales/HR,113678,Direct,0,
EG-EMP-1092,Ahmed Farid,DevOps,Engineering,56466,Employee Referral,10000,Salma Khalil
EG-EMP-1093,Salma Reda,DevOps,Engineering,37361,LinkedIn,0,
EG-EMP-1094,Dina Farid,Junior Dev,Engineering,21652,LinkedIn,0,
EG-EMP-1095,Ahmed Said,Sales Executive,Sales/HR,48647,Recruiter,0,
EG-EMP-1096,Ahmed Reda,Tech Lead,Engineering,106417,Employee Referral,21059,Nour Farid
EG-EMP-1097,Yasmine Soliman,Account Manager,Sales/HR,128825,Employee Referral,23738,Ahmed Reda
EG-EMP-1098,Yasmine Khalil,Data Analyst,Data Science,50805,Direct,0,
EG-EMP-1099,Omar Soliman,Data Analyst,Data Science,40155,Employee Referral,10000,Omar Ibrahim
EG-EMP-1100,Khaled Ibrahim,Junior Dev,Engineering,24591,Direct,0,
EG-EMP-1101,Youssef Ali,ML Engineer,Data Science,59815,Employee Referral,10000,Mariam Ibrahim
EG-EMP-1102,Khaled Mahmoud,Data Scientist,Data Science,59900,Employee Referral,10000,Youssef Khalil
EG-EMP-1103,Mariam Soliman,Data Scientist,Data Science,56281,Employee Referral,10000,Ahmed Farid
EG-EMP-1104,Khaled Said,Data Scientist,Data Science,42257,LinkedIn,0,
EG-EMP-1105,Mariam Soliman,Data Analyst,Data Science,52506,Direct,0,
EG-EMP-1106,Mariam Said,Sales Executive,Sales/HR,52419,Direct,0,
EG-EMP-1107,Dina Ali,DevOps,Engineering,56931,Recruiter,0,
EG-EMP-1108,Ahmed Soliman,Account Manager,Sales/HR,123497,Employee Referral,21395,Ahmed Reda
EG-EMP-1109,Ahmed Khalil,HR Manager,Sales/HR,85510,Employee Referral,19276,Nour Mansour
EG-EMP-1110,Mostafa Soliman,Account Manager,Sales/HR,127684,Employee Referral,20395,Tarek Ibrahim
EG-EMP-1111,Hoda Mansour,HR Specialist,Sales/HR,43484,Recruiter,0,
EG-EMP-1112,Khaled Farid,Backend Dev,Engineering,41747,Direct,0,
EG-EMP-1113,Kareem Said,ML Engineer,Data Science,48574,Direct,0,
EG-EMP-1114,Dina Hassan,ML Engineer,Data Science,61465,Employee Referral,10000,Ahmed Said
EG-EMP-1115,Dina Mansour,Frontend Dev,Engineering,42956,Employee Referral,10000,Mariam Mansour
EG-EMP-1116,Mariam Farid,Junior Dev,Engineering,30845,Employee Referral,5000,Khaled Reda
EG-EMP-1117,Salma Mahmoud,Junior Dev,Engineering,30478,Recruiter,0,
EG-EMP-1118,Salma Khalil,Sales Executive,Sales/HR,41991,Employee Referral,10000,Ahmed Reda
EG-EMP-1119,Dina Khalil,Account Manager,Sales/HR,118346,Recruiter,0,
EG-EMP-1120,Dina Farid,ML Engineer,Data Science,47374,Direct,0,
EG-EMP-1121,Youssef Hassan,Senior Dev,Engineering,134642,Recruiter,0,
EG-EMP-1122,Dina Farid,Frontend Dev,Engineering,35250,Employee Referral,10000,Hoda Soliman
EG-EMP-1123,Salma Ali,HR Manager,Sales/HR,111964,Recruiter,0,
EG-EMP-1124,Youssef Mansour,Data Scientist,Data Science,52026,Direct,0,
EG-EMP-1125,Dina Reda,Sales Executive,Sales/HR,60130,Employee Referral,10000,Ahmed Mansour
EG-EMP-1126,Youssef Khalil,ML Engineer,Data Science,41457,Direct,0,
EG-EMP-1127,Mariam Soliman,Data Scientist,Data Science,61989,Employee Referral,10000,Ahmed Farid
EG-EMP-1128,Mostafa Hassan,Data Scientist,Data Science,41220,Employee Referral,10000,Yasmine Said
EG-EMP-1129,Kareem Reda,Senior Dev,Engineering,136416,Recruiter,0,
EG-EMP-1130,Dina Soliman,Account Manager,Sales/HR,93612,Employee Referral,18108,Hoda Khalil
EG-EMP-1131,Tarek Soliman,Sales Executive,Sales/HR,46334,Employee Referral,10000,Dina Farid
EG-EMP-1132,Yasmine Said,Frontend Dev,Engineering,46262,Employee Referral,10000,Mostafa Soliman
EG-EMP-1133,Salma Ibrahim,ML Engineer,Data Science,38533,Employee Referral,10000,Tarek Ali
EG-EMP-1134,Salma Khalil,Junior Dev,Engineering,22206,Employee Referral,5000,Hoda Ibrahim
EG-EMP-1135,Youssef Mansour,Data Scientist,Data Science,64621,Direct,0,
EG-EMP-1136,Salma Khalil,HR Specialist,Sales/HR,59232,Direct,0,
EG-EMP-1137,Mariam Ali,QA Engineer,Engineering,46086,Direct,0,
EG-EMP-1138,Mostafa Soliman,Sales Executive,Sales/HR,43011,Direct,0,
EG-EMP-1139,Mostafa Mansour,Data Analyst,Data Science,42424,Direct,0,
EG-EMP-1140,Dina Mahmoud,Data Scientist,Data Science,58871,Employee Referral,10000,Khaled Ali
EG-EMP-1141,Salma Khalil,HR Specialist,Sales/HR,61550,Employee Referral,10000,Nour Reda
EG-EMP-1142,Kareem Farid,HR Manager,Sales/HR,84846,LinkedIn,0,
EG-EMP-1143,Yasmine Ibrahim,Data Analyst,Data Science,46667,Recruiter,0,
EG-EMP-1144,Mariam Farid,HR Manager,Sales/HR,132727,Recruiter,0,
EG-EMP-1145,Kareem Mahmoud,Data Analyst,Data Science,56220,Recruiter,0,
EG-EMP-1146,Kareem Mahmoud,HR Specialist,Sales/HR,55891,Employee Referral,10000,Mostafa Ali
EG-EMP-1147,Kareem Ali,Account Manager,Sales/HR,116748,Employee Referral,24486,Tarek Soliman
EG-EMP-1148,Kareem Reda,DevOps,Engineering,54280,LinkedIn,0,
EG-EMP-1149,Hoda Reda,Account Manager,Sales/HR,93504,Employee Referral,19570,Dina Ibrahim
EG-EMP-1150,Laila Mahmoud,Tech Lead,Engineering,108778,Employee Referral,16162,Tarek Ali
EG-EMP-1151,Khaled Khalil,Backend Dev,Engineering,42501,Employee Referral,10000,Youssef Khalil
EG-EMP-1152,Mostafa Reda,HR Specialist,Sales/HR,57126,Employee Referral,10000,Kareem Mahmoud
EG-EMP-1153,Laila Hassan,Data Analyst,Data Science,48507,Employee Referral,10000,Dina Hassan
EG-EMP-1154,Hoda Soliman,ML Engineer,Data Science,49346,Employee Referral,10000,Mariam Hassan
EG-EMP-1155,Kareem Hassan,Sales Executive,Sales/HR,37201,Direct,0,
EG-EMP-1156,Dina Hassan,HR Manager,Sales/HR,97667,Employee Referral,22366,Salma Ibrahim
EG-EMP-1157,Mostafa Hassan,ML Engineer,Data Science,59780,Employee Referral,10000,Mostafa Mansour
EG-EMP-1158,Yasmine Farid,DevOps,Engineering,44519,Direct,0,
EG-EMP-1159,Hoda Soliman,Senior Dev,Engineering,115397,LinkedIn,0,
EG-EMP-1160,Mostafa Soliman,Tech Lead,Engineering,124018,Employee Referral,20786,Mostafa Mansour
EG-EMP-1161,Khaled Mansour,QA Engineer,Engineering,48628,Employee Referral,10000,Omar Khalil
EG-EMP-1162,Mariam Hassan,Data Analyst,Data Science,45927,LinkedIn,0,
EG-EMP-1163,Laila Ali,Backend Dev,Engineering,62581,Direct,0,
EG-EMP-1164,Kareem Ali,Sales Executive,Sales/HR,39409,Employee Referral,10000,Mostafa Hassan
EG-EMP-1165,Mariam Reda,Junior Dev,Engineering,23819,Employee Referral,5000,Salma Khalil
EG-EMP-1166,Salma Mansour,ML Engineer,Data Science,57517,Recruiter,0,
EG-EMP-1167,Hoda Khalil,HR Specialist,Sales/HR,61990,LinkedIn,0,
EG-EMP-1168,Hoda Reda,Senior Dev,Engineering,137910,Recruiter,0,
EG-EMP-1169,Yasmine Soliman,ML Engineer,Data Science,41060,Employee Referral,10000,Laila Reda
EG-EMP-1170,Dina Reda,Junior Dev,Engineering,25025,Employee Referral,5000,Tarek Soliman
EG-EMP-1171,Hoda Khalil,Frontend Dev,Engineering,55896,LinkedIn,0,
EG-EMP-1172,Dina Hassan,Sales Executive,Sales/HR,45488,Employee Referral,10000,Nour Khalil
EG-EMP-1173,Laila Said,DevOps,Engineering,57329,Employee Referral,10000,Dina Hassan
EG-EMP-1174,Khaled Said,Account Manager,Sales/HR,94953,Recruiter,0,
EG-EMP-1175,Ahmed Khalil,ML Engineer,Data Science,57075,Employee Referral,10000,Ahmed Farid
EG-EMP-1176,Yasmine Soliman,Data Scientist,Data Science,57914,Employee Referral,10000,Mostafa Mansour
EG-EMP-1177,Mostafa Soliman,DevOps,Engineering,45498,Employee Referral,10000,Ahmed Khalil
EG-EMP-1178,Kareem Ali,HR Manager,Sales/HR,100042,Employee Referral,24808,Hoda Soliman
EG-EMP-1179,Khaled Mahmoud,Sales Executive,Sales/HR,42390,Employee Referral,10000,Mariam Farid
EG-EMP-1180,Mariam Said,Sales Executive,Sales/HR,59332,Recruiter,0,
EG-EMP-1181,Youssef Khalil,Sales Executive,Sales/HR,44119,Employee Referral,10000,Salma Reda
EG-EMP-1182,Ahmed Ibrahim,Data Analyst,Data Science,43765,Employee Referral,10000,Nour Said
EG-EMP-1183,Mariam Farid,Tech Lead,Engineering,81226,Employee Referral,17562,Laila Mahmoud
EG-EMP-1184,Omar Reda,HR Manager,Sales/HR,128998,Direct,0,
EG-EMP-1185,Khaled Hassan,Data Analyst,Data Science,64748,Recruiter,0,
EG-EMP-1186,Youssef Soliman,Data Scientist,Data Science,45810,Recruiter,0,
EG-EMP-1187,Nour Soliman,Data Scientist,Data Science,53006,Employee Referral,10000,Dina Mahmoud
EG-EMP-1188,Khaled Hassan,HR Specialist,Sales/HR,35101,Employee Referral,10000,Mostafa Soliman
EG-EMP-1189,Mostafa Mansour,ML Engineer,Data Science,42282,Employee Referral,10000,Youssef Soliman
EG-EMP-1190,Yasmine Said,Backend Dev,Engineering,40976,Direct,0,
EG-EMP-1191,Laila Farid,Data Scientist,Data Science,50192,Employee Referral,10000,Kareem Ali
EG-EMP-1192,Dina Mahmoud,DevOps,Engineering,47972,Recruiter,0,
EG-EMP-1193,Mostafa Hassan,Junior Dev,Engineering,21222,Employee Referral,5000,Khaled Ali
EG-EMP-1194,Mostafa Hassan,Data Analyst,Data Science,44876,Recruiter,0,
EG-EMP-1195,Mariam Farid,HR Manager,Sales/HR,128083,Employee Referral,18566,Khaled Mahmoud
EG-EMP-1196,Khaled Ibrahim,ML Engineer,Data Science,40040,Direct,0,
EG-EMP-1197,Omar Farid,Junior Dev,Engineering,21979,LinkedIn,0,
EG-EMP-1198,Tarek Reda,Backend Dev,Engineering,53048,LinkedIn,0,
EG-EMP-1199,Omar Ali,Senior Dev,Engineering,103186,Direct,0,
EG-EMP-1200,Salma Mahmoud,HR Specialist,Sales/HR,41787,Direct,0,
EG-EMP-1201,Yasmine Farid,QA Engineer,Engineering,62445,Direct,0,
EG-EMP-1202,Tarek Ibrahim,DevOps,Engineering,57762,Recruiter,0,
EG-EMP-1203,Omar Mansour,QA Engineer,Engineering,60893,Recruiter,0,
EG-EMP-1204,Youssef Soliman,Tech Lead,Engineering,126554,LinkedIn,0,
EG-EMP-1205,Khaled Hassan,Tech Lead,Engineering,132844,Employee Referral,19748,Dina Hassan
EG-EMP-1206,Salma Reda,ML Engineer,Data Science,40777,LinkedIn,0,
EG-EMP-1207,Khaled Khalil,HR Specialist,Sales/HR,58710,Employee Referral,10000,Tarek Soliman
EG-EMP-1208,Salma Mahmoud,Junior Dev,Engineering,20498,LinkedIn,0,
EG-EMP-1209,Omar Mahmoud,Tech Lead,Engineering,125901,Recruiter,0,
EG-EMP-1210,Mariam Hassan,HR Manager,Sales/HR,87843,Employee Referral,15100,Hoda Soliman
EG-EMP-1211,Laila Ibrahim,ML Engineer,Data Science,40181,Employee Referral,10000,Salma Ibrahim
EG-EMP-1212,Kareem Farid,ML Engineer,Data Science,62598,LinkedIn,0,
EG-EMP-1213,Laila Mahmoud,DevOps,Engineering,39153,LinkedIn,0,
EG-EMP-1214,Yasmine Mansour,HR Manager,Sales/HR,83000,Direct,0,
EG-EMP-1215,Omar Reda,Data Scientist,Data Science,46063,Direct,0,
EG-EMP-1216,Laila Reda,HR Manager,Sales/HR,86388,LinkedIn,0,
EG-EMP-1217,Khaled Ibrahim,Data Scientist,Data Science,53332,Employee Referral,10000,Youssef Khalil
EG-EMP-1218,Ahmed Farid,Frontend Dev,Engineering,55917,Direct,0,
EG-EMP-1219,Yasmine Reda,HR Manager,Sales/HR,131683,Employee Referral,21596,Salma Khalil
EG-EMP-1220,Kareem Ali,HR Specialist,Sales/HR,53200,Recruiter,0,
EG-EMP-1221,Nour Mahmoud,ML Engineer,Data Science,43725,LinkedIn,0,
EG-EMP-1222,Salma Hassan,ML Engineer,Data Science,51236,LinkedIn,0,
EG-EMP-1223,Mariam Mahmoud,Data Scientist,Data Science,38060,Employee Referral,10000,Youssef Soliman
EG-EMP-1224,Omar Soliman,Sales Executive,Sales/HR,43878,Recruiter,0,
EG-EMP-1225,Omar Mahmoud,Account Manager,Sales/HR,106438,Employee Referral,17615,Nour Said
EG-EMP-1226,Nour Hassan,HR Manager,Sales/HR,125213,Employee Referral,20808,Omar Ali
EG-EMP-1227,Dina Hassan,DevOps,Engineering,35728,Direct,0,
EG-EMP-1228,Dina Farid,ML Engineer,Data Science,56678,Direct,0,
EG-EMP-1229,Khaled Farid,Tech Lead,Engineering,73926,Employee Referral,20503,Youssef Khalil
EG-EMP-1230,Dina Mansour,QA Engineer,Engineering,59051,Direct,0,
EG-EMP-1231,Tarek Ali,Backend Dev,Engineering,52925,LinkedIn,0,
EG-EMP-1232,Kareem Reda,HR Specialist,Sales/HR,54773,Employee Referral,10000,Mostafa Soliman
EG-EMP-1233,Nour Reda,Tech Lead,Engineering,117603,Direct,0,
EG-EMP-1234,Kareem Reda,Junior Dev,Engineering,18768,LinkedIn,0,
EG-EMP-1235,Kareem Ali,HR Specialist,Sales/HR,57076,Direct,0,
EG-EMP-1236,Omar Farid,Data Analyst,Data Science,43329,Direct,0,
EG-EMP-1237,Salma Farid,Data Scientist,Data Science,50058,Recruiter,0,
EG-EMP-1238,Youssef Soliman,ML Engineer,Data Science,36555,Employee Referral,10000,Youssef Mansour
EG-EMP-1239,Nour Mansour,ML Engineer,Data Science,57355,LinkedIn,0,
EG-EMP-1240,Laila Mansour,ML Engineer,Data Science,44863,Recruiter,0,
EG-EMP-1241,Tarek Mansour,Frontend Dev,Engineering,58138,Direct,0,
EG-EMP-1242,Khaled Hassan,Data Analyst,Data Science,44395,Employee Referral,10000,Nour Said
EG-EMP-1243,Hoda Said,Data Scientist,Data Science,48129,LinkedIn,0,
EG-EMP-1244,Tarek Mahmoud,ML Engineer,Data Science,35252,LinkedIn,0,
EG-EMP-1245,Khaled Khalil,HR Specialist,Sales/HR,36815,Employee Referral,10000,Omar Khalil
EG-EMP-1246,Nour Said,Sales Executive,Sales/HR,43490,Recruiter,0,
EG-EMP-1247,Mostafa Reda,Data Analyst,Data Science,44083,Direct,0,
EG-EMP-1248,Mariam Said,Backend Dev,Engineering,49906,Employee Referral,10000,Salma Mahmoud
EG-EMP-1249,Youssef Ibrahim,ML Engineer,Data Science,49369,Employee Referral,10000,Yasmine Said
EG-EMP-1250,Salma Khalil,DevOps,Engineering,64360,Recruiter,0,
EG-EMP-1251,Mariam Ibrahim,Tech Lead,Engineering,124629,Employee Referral,15619,Salma Ibrahim
EG-EMP-1252,Nour Mansour,Backend Dev,Engineering,35084,Employee Referral,10000,Hoda Soliman
EG-EMP-1253,Youssef Khalil,HR Manager,Sales/HR,104637,Employee Referral,22194,Mostafa Mansour
EG-EMP-1254,Laila Mansour,HR Specialist,Sales/HR,41264,Employee Referral,10000,Dina Hassan
EG-EMP-1255,Nour Reda,ML Engineer,Data Science,41649,Employee Referral,10000,Mariam Ibrahim
EG-EMP-1256,Omar Mansour,Data Analyst,Data Science,45686,Direct,0,
EG-EMP-1257,Youssef Ali,Tech Lead,Engineering,135478,Employee Referral,17833,Yasmine Reda
EG-EMP-1258,Dina Reda,Senior Dev,Engineering,102348,Direct,0,
EG-EMP-1259,Laila Said,Tech Lead,Engineering,106877,Direct,0,
EG-EMP-1260,Khaled Khalil,Backend Dev,Engineering,50626,Employee Referral,10000,Mariam Ali
EG-EMP-1261,Hoda Farid,DevOps,Engineering,55761,Direct,0,
EG-EMP-1262,Ahmed Khalil,Frontend Dev,Engineering,58789,LinkedIn,0,
EG-EMP-1263,Dina Farid,HR Manager,Sales/HR,121423,Recruiter,0,
EG-EMP-1264,Youssef Ibrahim,Tech Lead,Engineering,77334,LinkedIn,0,
EG-EMP-1265,Nour Said,HR Specialist,Sales/HR,36986,Employee Referral,10000,Yasmine Reda
EG-EMP-1266,Nour Mahmoud,Frontend Dev,Engineering,60562,LinkedIn,0,
EG-EMP-1267,Omar Ali,Data Scientist,Data Science,64375,LinkedIn,0,
EG-EMP-1268,Nour Khalil,ML Engineer,Data Science,45159,LinkedIn,0,
EG-EMP-1269,Youssef Said,Data Analyst,Data Science,35078,LinkedIn,0,
EG-EMP-1270,Dina Mahmoud,Data Scientist,Data Science,43372,LinkedIn,0,
EG-EMP-1271,Ahmed Ali,Frontend Dev,Engineering,52571,Employee Referral,10000,Dina Farid
EG-EMP-1272,Kareem Ibrahim,Account Manager,Sales/HR,139219,Employee Referral,18932,Laila Ali
EG-EMP-1273,Tarek Reda,Data Scientist,Data Science,55668,Employee Referral,10000,Mostafa Mansour
EG-EMP-1274,Hoda Ali,Sales Executive,Sales/HR,43279,Employee Referral,10000,Dina Reda
EG-EMP-1275,Kareem Ibrahim,Tech Lead,Engineering,98487,Employee Referral,23225,Hoda Soliman
EG-EMP-1276,Ahmed Reda,Sales Executive,Sales/HR,50807,Recruiter,0,
EG-EMP-1277,Kareem Reda,Data Analyst,Data Science,49144,Employee Referral,10000,Ahmed Ali
EG-EMP-1278,Laila Ali,QA Engineer,Engineering,64469,LinkedIn,0,
EG-EMP-1279,Laila Ali,Data Analyst,Data Science,54856,LinkedIn,0,
EG-EMP-1280,Dina Reda,HR Manager,Sales/HR,127906,Employee Referral,24951,Laila Ali
EG-EMP-1281,Khaled Khalil,Tech Lead,Engineering,104492,Recruiter,0,
EG-EMP-1282,Hoda Hassan,Data Analyst,Data Science,61050,Recruiter,0,
EG-EMP-1283,Youssef Reda,HR Specialist,Sales/HR,43202,Recruiter,0,
EG-EMP-1284,Nour Farid,HR Manager,Sales/HR,97194,Employee Referral,22706,Salma Soliman
EG-EMP-1285,Mostafa Reda,Sales Executive,Sales/HR,49101,Employee Referral,10000,Mariam Soliman
EG-EMP-1286,Yasmine Soliman,Data Scientist,Data Science,48243,Recruiter,0,
EG-EMP-1287,Nour Khalil,Data Analyst,Data Science,49521,Recruiter,0,
EG-EMP-1288,Salma Soliman,HR Manager,Sales/HR,117017,Recruiter,0,
EG-EMP-1289,Mostafa Ibrahim,DevOps,Engineering,44449,Recruiter,0,
EG-EMP-1290,Youssef Farid,QA Engineer,Engineering,44629,Employee Referral,10000,Ahmed Khalil
EG-EMP-1291,Ahmed Soliman,Account Manager,Sales/HR,78188,Direct,0,
EG-EMP-1292,Hoda Ali,Data Analyst,Data Science,43477,Employee Referral,10000,Mostafa Mahmoud
EG-EMP-1293,Mostafa Said,Sales Executive,Sales/HR,42320,Recruiter,0,
EG-EMP-1294,Ahmed Reda,Frontend Dev,Engineering,55582,Employee Referral,10000,Khaled Khalil
